emoji,name,clean_post_text,emotional_scores
🤢,nauseated face,nauseate face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤮,face vomiting,face vomit,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤧,sneezing face,sneeze face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
🥵,hot face,hot face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🥶,cold face,cold face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🥴,woozy face,woozy face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😵,knocked-out face,knock face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😵‍💫,⊛ face with spiral eyes,face spiral eye,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤯,exploding head,explode head,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.05555555555555555, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
🤠,cowboy hat face,cowboy hat face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🥳,partying face,party face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🥸,disguised face,disguise face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😎,smiling face with sunglasses,smile face sunglass,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
🤓,nerd face,nerd face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🧐,face with monocle,face monocle,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😕,confused face,confuse face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😟,worried face,worried face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
🙁,slightly frowning face,slightly frown face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.08695652173913043, ""Surprise"": 0.0, ""Trust"": 0.0}"
☹,frowning face,frown face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.08695652173913043, ""Surprise"": 0.0, ""Trust"": 0.0}"
😮,face with open mouth,face open mouth,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😯,hushed face,hush face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😲,astonished face,astonish face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😳,flushed face,flush face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🥺,pleading face,plead face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😦,frowning face with open mouth,frown face open mouth,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.08695652173913043, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😧,anguished face,anguish face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.05555555555555555, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😨,fearful face,fearful face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.05555555555555555, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😰,anxious face with sweat,anxious face sweat,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.1111111111111111, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😥,sad but relieved face,sad relieve face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😢,crying face,cry face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.08695652173913043, ""Surprise"": 0.0, ""Trust"": 0.0}"
😭,loudly crying face,loudly cry face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.08695652173913043, ""Surprise"": 0.0, ""Trust"": 0.0}"
😱,face screaming in fear,face scream fear,"{""Anger"": 0.1875, ""Anticipation"": 0.0, ""Disgust"": 0.1, ""Fear"": 0.2222222222222222, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😖,confounded face,confound face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😣,persevering face,persevere face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😞,disappointed face,disappointed face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😓,downcast face with sweat,downcast face sweat,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.05555555555555555, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😩,weary face,weary face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.043478260869565216, ""Surprise"": 0.0, ""Trust"": 0.0}"
😫,tired face,tire face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🥱,yawning face,yawn face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😤,face with steam from nose,face steam nose,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😡,pouting face,pout face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😠,angry face,angry face,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤬,face with symbols on mouth,face symbol mouth,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😈,smiling face with horns,smile face horn,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.03571428571428571, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.03225806451612903}"
👿,angry face with horns,angry face horn,"{""Anger"": 0.0625, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
💀,skull,skull,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
☠,skull and crossbones,skull crossbones,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
💩,pile of poo,pile poo,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.05, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤡,clown face,clown face,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
